Code,Description,Active
"0111",Wheat,true
"0112",Rice,true
"0115",Corn,true
"0116",Soybeans,true
"0119",Cash Grains,true
"0131",Cotton,true
"0132",Tobacco,true
"0133",Sugarcane And Sugar Beets,true
"0134",Irish Potatoes,true
"0139","Field Crops, Except Cash Grains",true
"0161",Vegetables And Melons,true
"0171",Berry Crops,true
"0172",Grapes,true
"0173",Tree Nuts,true
"0174",Citrus Fruits,true
"0175",Deciduous Tree Fruits,true
"0179",Fruits And Tree Nuts,true
"0181",Ornamental Nursery Products,true
"0182",Food Crops Grown Under Cover,true
"0191","General Farms, Primarily Crop",true
"0211",Beef Cattle Feedlots,true
"0212","Beef Cattle, Except Feedlots",true
"0213",Hogs,true
"0214",Sheep And Goats,true
"0219",General Livestock,true
"0240",Legacy Docket Conv,false
"0241",Dairy Farms,true
"0251","Broiler, Fryer, And Roaster Chickens",true
"0252",Chicken Eggs,true
"0253",Turkeys And Turkey Eggs,true
"0254",Poultry Hatcheries,true
"0259",Poultry And Eggs,true
"0271",Fur-Bearing Animals And Rabbits,true
"0272",Horses And Other Equines,true
"0273",Animal Aquaculture,true
"0279",Animal Specialties,true
"0291","General Farms, Primarily Animal",true
"0711",Soil Preparation Services,true
"0721",Crop Planting And Protecting,true
"0722",Crop Harvesting,true
"0723",Crop Preparation Services For Market,true
"0724",Cotton Ginning,true
"0729",Legacy Docket Conv,false
"0741",Veterinary Services For Livestock,true
"0742","Veterinary Services, Specialties",true
"0751","Livestock Services, Except Veterinary",true
"0752",Animal Specialty Services,true
"0761",Farm Labor Contractors,true
"0762",Farm Management Services,true
"0781",Landscape Counseling And Planning,true
"0782",Lawn And Garden Services,true
"0783",Ornamental Shrub And Tree Services,true
"0811",Timber Tracts,true
"0821",Legacy Docket Conv,false
"0831",Forest Products,true
"0851",Forestry Services,true
"0910",Legacy Docket Conv,false
"0912",Finfish,true
"0913",Shellfish,true
"0919",Miscellaneous Marine Products,true
"0921",Fish Hatcheries And Preserves,true
"0971","Hunting, Trapping, Game Propagation",true
"1011",Iron Ores,true
"1021",Copper Ores,true
"1031",Lead And Zinc Ores,true
"1041",Gold Ores,true
"1044",Silver Ores,true
"1061","Ferroalloy Ores, Except Vanadium",true
"1081",Metal Mining Services,true
"1094",Uranium-Radium-Vanadium Ores,true
"1099",Metal Ores,true
"1112",Legacy Docket Conv,false
"1211",Bituminous Coal And Lignite(1977),false
"1221",Bituminous Coal And Lignite - Surface,true
"1222",Bituminous Coal - Underground,true
"1231",Anthracite Mining,true
"1241",Coal Mining Services,true
"1311",Crude Petroleum And Natural Gas,true
"1321",Natural Gas Liquids,true
"1381",Drilling Oil And Gas Wells,true
"1382",Oil And Gas Exploration Services,true
"1389",Oil And Gas Field Services,true
"1411",Dimension Stone,true
"1420",Legacy Docket Conv,false
"1422",Crushed And Broken Limestone,true
"1423",Crushed And Broken Granite,true
"1429",Crushed And Broken Stone,true
"1442",Construction Sand And Gravel,true
"1446",Industrial Sand,true
"1455",Kaolin And Ball Clay,true
"1459",Clay And Related Minerals,true
"1474","Potash, Soda, And Borate Minerals",true
"1475",Phosphate Rock,true
"1476",Legacy Docket Conv,false
"1479",Chemical And Fertilizer Mining,true
"1481",Nonmetallic Minerals Services,true
"1499",Miscellaneous Nonmetallic Minerals,true
"1521",Single-Family Housing Construction,true
"1522",Residential Construction,true
"1531",Operative Builders,true
"1541",Industrial Buildings And Warehouses,true
"1542",Nonresidential Construction,true
"1611",Highway And Street Construction,true
"1622","Bridge, Tunnel, & Elevated Highway",true
"1623","Water, Sewer, And Utility Lines",true
"1629",Heavy Construction,true
"1711","Plumbing, Heating, Air-Conditioning",true
"1721",Painting And Paper Hanging,true
"1731",Electrical Work,true
"1741",Masonry And Other Stonework,true
"1742","Plastering, Drywall, And Insulation",true
"1743","Terrazzo, Tile, Marble, Mosaic Work",true
"1751",Carpentry Work,true
"1752",Floor Laying And Floor Work,true
"1761","Roofing, Siding, And Sheet Metal Work",true
"1771",Concrete Work,true
"1781",Water Well Drilling,true
"1791",Structural Steel Erection,true
"1793",Glass And Glazing Work,true
"1794",Excavation Work,true
"1795",Wrecking And Demolition Work,true
"1796",Installing Building Equipment,true
"1799",Special Trade Contractors,true
"2010",Legacy Docket Conv,false
"2011",Meat Packing Plants,true
"2013",Sausages And Other Prepared Meats,true
"2015",Poultry Slaughtering And Processing,true
"2016",Legacy Docket Conv,false
"2017",Legacy Docket Conv,false
"2020",Legacy Docket Conv,false
"2021",Creamery Butter,true
"2022","Cheese, Natural And Processed",true
"2023","Dry, Condensed, Evaporated Products",true
"2024",Ice Cream And Frozen Desserts,true
"2026",Fluid Milk,true
"2032",Canned Specialties,true
"2033",Canned Fruits And Vegetables,true
